Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
COELCE ON,COCE3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-21,wait,2020-10-21
LE LIS BLANC ON,LLIS3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Whirlpool Pref,WHRL4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-21,wait,2020-10-21
PepsiCo Inc BDR,PEPB34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-21,wait,2020-10-21
Exxon Mobil Corp.,EXXO34,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Apple Inc BDR,AAPL34,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-21,wait,2020-10-21
VALID ON,VLID3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-21,wait,2020-10-21
PETROBRAS ON,PETR3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Ogx Petroleo e Ga.,DMMO3T,1M,Low,Belt Hold Bullish,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Ogx Petroleo e Ga.,DMMO3T,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-21,wait,2020-10-21
CPFL ENERGIAON NM.,CPFE3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-21,wait,2020-10-21
COPEL ON,CPLE3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-21,wait,2020-10-21
BRASKEM ON,BRKM3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Ogx Petroleo e Ga.,DMMO3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Cosan Logistica S.,RLOG3,1M,High,Three Outside Down,Current,Bearish reversal,2020-10-21,wait,2020-10-21
Visa Inc BDR,VISA34,1M,High,Three Inside Down,Current,Bearish reversal,2020-10-21,wait,2020-10-21
Chevron Corp BDR,CHVX34,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-21,wait,2020-10-21
MMX Mineracao e M.,MMXM11,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Goldman Sachs Gro.,GSGI34,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-21,wait,2020-10-21
CEEE-D ON,CEED3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-21,wait,2020-10-21
CEEE-D ON,CEED3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-21,wait,2020-10-21
CEEE-D ON,CEED3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Celpe Pref,CEPE5,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Citigroup Inc BDR.,CTGP34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Citigroup Inc BDR.,CTGP34,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Alupar Invest Pre.,ALUP4,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-21,wait,2020-10-21
TIM PART S/A ON,TIMS3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Halliburton Co BD.,HALI34,1M,Low,Thrusting Bearish,Current,Bearish continuation,2020-10-21,wait,2020-10-21
CCR SA ON,CCRO3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Companhia de Sane.,SAPR4,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Companhia de Sane.,SAPR4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-21,wait,2020-10-21
TELEF BRASIL PN,VIVT4,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-21,wait,2020-10-21
METAL LEVE ON,LEVE3,1M,High,Morning Doji Star,Current,Bullish reversal,2020-10-21,wait,2020-10-21
International Bus.,IBMB34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-21,wait,2020-10-21
BRF SA ON,BRFS3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-21,wait,2020-10-21
PepsiCo Inc BDR,PEPB34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-21,wait,2020-10-21
Ferbasa,FESA3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2020-10-21,wait,2020-10-21
Dimed,PNVL3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Starbucks Corp BD.,SBUB34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-21,wait,2020-10-21
CEMIG PN,CMIG4,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Microsoft Corp BD.,MSFT34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-21,wait,2020-10-21
Hoteis Othon,HOOT4,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-21,wait,2020-10-21
ODONTOPREV ON,ODPV3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-21,wait,2020-10-21
