Posted Date,Reference Number,Payee,Address,Amount
04/22/2024,24692164111105741133219,"PRET-A-MANGER LAX LOS ANGELES CA","LOS ANGELES   CA ",-19.10
04/20/2024,24492154110719160338515,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
04/20/2024,24492154110717153130857,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-17.06
04/20/2024,24692164110104559154459,"SQ *THE MANCHESTER gosq.com CA","gosq.com      CA ",-22.99
04/19/2024,24492154110717059159323,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-88.43
04/19/2024,24755424109271096120007,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
04/18/2024,24755424108281089565622,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-11.15
04/17/2024,24755424107291073488930,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
04/16/2024,10783204320041600050188,"PAYMENT - THANK YOU","",1256.83
04/16/2024,24801974106091448000082,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-17.48
04/16/2024,24692164106101484915232,"AMZN Mktp US*TQ6Z50F23 Amzn.com/billWA","Amzn.com/bill WA ",-138.59
04/16/2024,24431064106083350158436,"AMAZON.COM*6P5P191U3 SEATTLE WA","SEATTLE       WA ",-48.47
04/15/2024,24431064106091993002218,"REGAL IRVINE 21 1010 IRVINE CA","IRVINE        CA ",-15.70
04/15/2024,24137464106001544342459,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-22.35
04/15/2024,24492154106713415124735,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-18.39
04/15/2024,24692164105100770453115,"JACK IN THE BOX 3278 IRVINE CA","IRVINE        CA ",-11.62
04/15/2024,24431054105091100000149,"MARKET@WORK 2067379149 RENTON WA","RENTON        WA ",-1.75
04/15/2024,24011344104000065054292,"AMAZON RET* 111-832619 WWW.AMAZON.COWA","WWW.AMAZON.CO WA ",-140.05
04/15/2024,24692164104109854756872,"GOOGLE *FIBER 5S3FBD g.co/helppay#CA","g.co/helppay# CA ",-70.00
04/13/2024,24943004103796641572657,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
04/12/2024,24755424102291023583546,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
04/11/2024,24692164101107318255336,"AMZN Mktp US*N261H7U73 Amzn.com/billWA","Amzn.com/bill WA ",-23.68
04/10/2024,24431064100083340204155,"AMAZON.COM*S48851YZ3 SEATTLE WA","SEATTLE       WA ",-71.10
04/10/2024,24755424100281005211689,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
04/10/2024,24692164100106853309582,"APPLE.COM/BILL 866-712-7753 CA","866-712-7753  CA ",-9.99
04/10/2024,24692164100106850282212,"AMZN Mktp US*NZ4GV3YX3 Amzn.com/billWA","Amzn.com/bill WA ",-50.83
04/10/2024,24692164100106834419831,"AMZN Mktp US*KN64G4J73 Amzn.com/billWA","Amzn.com/bill WA ",-91.43
04/08/2024,24692164099105563401302,"SQ *SHAKE SHACK Irvine CA","Irvine        CA ",-15.05
04/08/2024,24492154099715297956547,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-18.39
04/08/2024,24164074098091246867468,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-82.30
04/08/2024,24204294098001625798032,"Subway 27688 Irvine CA","Irvine        CA ",-11.48
04/08/2024,24801974098091440000072,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-17.48
04/08/2024,24137464098001540810467,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-44.40
04/08/2024,24492154097745977119761,"DD DOORDASH TRATTORIA 855-973-1040 CA","855-973-1040  CA ",-26.55
04/06/2024,24492164097000011743088,"BETTERWORLDBOOKS.COM HTTPSWWW.BETTIN","HTTPSWWW.BETT IN ",-18.72
04/06/2024,24943004096796470457730,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
04/05/2024,24137464095300751610720,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-29.96
04/05/2024,24755424095290950920225,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
04/05/2024,24692164095102638133782,"AMZN Mktp US*RO8S61431 Amzn.com/billWA","Amzn.com/bill WA ",-123.06
04/04/2024,24755424094290941993597,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
04/03/2024,74208474094000009403600,"OVERLEAF SHARELATEX LONDON","",-9.00
04/03/2024,24755424093290937111676,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
04/03/2024,24492154093715330315376,"DD DOORDASH PIEOLOGYP 855-973-1040 CA","855-973-1040  CA ",-26.44
04/03/2024,24692164093100714570788,"AMZN Mktp US*RA8N752C1 Amzn.com/billWA","Amzn.com/bill WA ",-96.44
04/03/2024,24692164093100686924716,"AMZN Mktp US*G31JL9ZA3 Amzn.com/billWA","Amzn.com/bill WA ",-72.03
04/01/2024,24431064092091012000207,"REGAL IRVINE 21 1010 IRVINE CA","IRVINE        CA ",-6.30
04/01/2024,24692164091101962702307,"SQ *SHAKE SHACK Irvine CA","Irvine        CA ",-15.05
04/01/2024,24492154091719933262896,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-18.39
03/29/2024,24755424088280889724243,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
