Posted Date,Reference Number,Payee,Address,Amount
08/28/2023,24431063240091036002596,"REGAL IRVINE 21 1010 IRVINE CA","IRVINE        CA ",-15.48
08/28/2023,24492153239713890251682,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-5.80
08/28/2023,24164073238091016453849,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-65.67
08/28/2023,24204293238005256180132,"Subway 27688 Irvine CA","Irvine        CA ",-10.52
08/26/2023,24943003237796823666344,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
08/25/2023,24755423236292361235260,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.33
08/24/2023,24055223236400522000587,"S'WICH BISTRO, LLC IRVINE CA","IRVINE        CA ",-17.44
08/23/2023,24943003235400012000090,"CHEESECAKE IRVINE IRVINE CA","IRVINE        CA ",-22.17
08/23/2023,24055223235400520000507,"S'WICH BISTRO, LLC IRVINE CA","IRVINE        CA ",-14.14
08/23/2023,24492153234717091832195,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-19.93
08/23/2023,24011343234000037075925,"LYFT *RIDE TUE 9AM LYFT.COM CA","LYFT.COM      CA ",-14.87
08/22/2023,24198803233333793767990,"PAYPAL *HOLZMANNCFD 4029357733 CA","4029357733    CA ",-12.13
08/21/2023,24941443232823644746678,"AMTRAK MOBIL2310747577220WASHINGTON DC","WASHINGTON    DC ",-38.00
08/21/2023,24013393232002226523157,"IN N OUT BURGER 102 HOLLYWOOD CA","HOLLYWOOD     CA ",-10.68
08/21/2023,24492153232743699704539,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-9.96
08/21/2023,24275393232900016800771,"HOLLYWOOD AMOEBA LOS ANGELES CA","LOS ANGELES   CA ",-33.20
08/21/2023,24445003232500394824227,"METROLINK 800-371-5465 CA","800-371-5465  CA ",-21.50
08/21/2023,24137463232001441870858,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-47.21
08/21/2023,24431063232995000484491,"LA METRO UNION STN LOS ANGELES CA","LOS ANGELES   CA ",-3.75
08/21/2023,24492153231745647389132,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-12.23
08/19/2023,24431063231838007853949,"PANDA EXPRESS #1292 IRVINE CA","IRVINE        CA ",-13.07
08/18/2023,24692163229108774309467,"SQ *THE KEBAB SHOP Irvine CA","Irvine        CA ",-16.59
08/18/2023,24692163229108621355002,"STARBUCKS STORE 11457 IRVINE CA","IRVINE        CA ",-9.10
08/17/2023,24137463228300763748155,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-32.83
08/16/2023,24492153227719927941553,"DD DOORDASH HAKO 855-973-1040 CA","855-973-1040  CA ",-39.69
08/16/2023,24137463227500745089096,"TST* PIEOLOGY - SPECTRUM IRVINE CA","IRVINE        CA ",-19.18
08/16/2023,24692163227106773866174,"ALBERTSONS.COM #0527 877-505-4040 CA","877-505-4040  CA ",-33.42
08/15/2023,24164073226574073529662,"YARD HOUSE 83000083030 IRVINE CA","IRVINE        CA ",-29.71
08/15/2023,24164073226091016261170,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-14.65
08/14/2023,24431063226091982000642,"REGAL IRVINE 21 1010 IRVINE CA","IRVINE        CA ",-17.56
08/14/2023,24941443225823633120645,"AMTRAK MOBIL2240677587032WASHINGTON DC","WASHINGTON    DC ",-38.00
08/14/2023,24492153225745594650799,"ALLIANZ INSURANCE ALLIANZINS.USVA","ALLIANZINS.US VA ",-18.00
08/14/2023,24492153225715612571830,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-11.99
08/14/2023,24492153225713596900703,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-10.64
08/14/2023,24445003225500387560324,"METROLINK 800-371-5465 CA","800-371-5465  CA ",-21.50
08/14/2023,22506005710038943735996,"Online payment from CHK 0491","",1700.00
08/14/2023,24137463225001195975241,"CVS/PHARMACY #11028 LOS ANGELES CA","LOS ANGELES   CA ",-7.08
08/14/2023,24492163225000008948945,"LS THE LAST BOOKSTORE 186-69321801 CA","186-69321801  CA ",-42.65
08/14/2023,24137463224300694491861,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-15.07
08/14/2023,24492153224713548544188,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-10.91
08/14/2023,24164073224574877937667,"YARD HOUSE 83000083030 IRVINE CA","IRVINE        CA ",-29.68
08/12/2023,24492153224717433299451,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-15.06
08/12/2023,24492153224715444459338,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-13.91
08/12/2023,24692163223103637643521,"TST* Earthbar - DTLA 6th Los Angeles CA","Los Angeles   CA ",-12.92
08/12/2023,24943003223796679869857,"2LEVY LA CONV CENTER LOS ANGELES CA","LOS ANGELES   CA ",-29.57
08/12/2023,24137463223500769863768,"TST* PIEOLOGY - SPECTRUM IRVINE CA","IRVINE        CA ",-7.79
08/12/2023,24137463223500769863685,"TST* PIEOLOGY - SPECTRUM IRVINE CA","IRVINE        CA ",-3.18
08/11/2023,24692163222102815052308,"TST* Earthbar - DTLA 6th Los Angeles CA","Los Angeles   CA ",-15.28
08/10/2023,24692163221102307168670,"SQ *PIZZA NEXT DOOR Los Angeles CA","Los Angeles   CA ",-15.28
08/10/2023,24943003221796385460456,"2LEVY LA CONV CENTER LOS ANGELES CA","LOS ANGELES   CA ",-19.71
08/10/2023,24692163221102001411186,"TST* Earthbar - DTLA 6th Los Angeles CA","Los Angeles   CA ",-13.74
08/09/2023,24164073220574464617445,"YARD HOUSE 83200083212 LOS ANGELES CA","LOS ANGELES   CA ",-30.01
08/09/2023,24943003220796244785292,"2LEVY LA CONV CENTER LOS ANGELES CA","LOS ANGELES   CA ",-8.76
08/09/2023,24943003220796243182715,"2LEVY LA CONV CENTER LOS ANGELES CA","LOS ANGELES   CA ",-19.71
08/09/2023,24692163220101195732705,"TST* Earthbar - DTLA 6th Los Angeles CA","Los Angeles   CA ",-12.92
08/08/2023,24692163219100667258903,"SQ *BREAKPOINT CONVENTIONLos Angeles CA","Los Angeles   CA ",-54.75
08/08/2023,24164073219574387912488,"YARD HOUSE 83200083212 LOS ANGELES CA","LOS ANGELES   CA ",-27.28
08/08/2023,24492153219894226687692,"PAYPAL *TARGETCORPO 402-935-7733 IN","402-935-7733  IN ",-2.26
08/08/2023,24445003219100244440196,"PAR*TOM'S WATCH BAR - LA LOS ANGELES CA","LOS ANGELES   CA ",-37.15
08/07/2023,24692163218109771701667,"APPLE.COM/BILL 866-712-7753 CA","866-712-7753  CA ",-12.99
08/07/2023,24492153218717580156452,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-12.42
08/07/2023,24692163218109433703945,"APPLE.COM/US 800-692-7753 CA","800-692-7753  CA ",-100.00
08/07/2023,24692163218109433652597,"APPLE.COM/US 800-692-7753 CA","800-692-7753  CA ",-1038.27
08/07/2023,74492153217894228925089,"PAYPAL *TARGETCORPO 402-935-7733 IN","402-935-7733  IN ",0.10
08/07/2023,24164073217091016227644,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-13.86
08/07/2023,24204293217005323660137,"Subway 27688 Irvine CA","Irvine        CA ",-15.34
08/05/2023,24431063217091142000111,"REGAL IRVINE 21 1010 IRVINE CA","IRVINE        CA ",-5.99
08/04/2023,24755423215292159832216,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-9.90
08/03/2023,74208473215000004104928,"OVERLEAF S* TRIAL STUD LONDON","",-9.00
