Posted Date,Reference Number,Payee,Address,Amount
12/28/2023,24164073361091016126808,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-102.90
12/28/2023,24204293361001749565038,"Subway 27688 Irvine CA","Irvine        CA ",-12.48
12/26/2023,24943003360400928000348,"CHEESECAKE IRVINE IRVINE CA","IRVINE        CA ",-42.07
12/26/2023,24431063359400000020574,"LUNA GRILL 007 IRVINE CA","IRVINE        CA ",-22.26
12/26/2023,24692163358107199698093,"TST* IRVINE IMPROV UMAMI Irvine CA","Irvine        CA ",-39.94
12/23/2023,24943003356796709479866,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
12/22/2023,24755423356133565172749,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.14
12/22/2023,24692163355104658235536,"STARBUCKS STORE 11457 IRVINE CA","IRVINE        CA ",-2.85
12/21/2023,24137463354300808261079,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-27.51
12/20/2023,24755423353283530352455,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
12/19/2023,24801973352091441000074,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-16.22
12/19/2023,24137463352500863993704,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-49.34
12/16/2023,24943003349796667779059,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
12/15/2023,24755423348283486253358,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
12/15/2023,24943003348796522482957,"BLIZZARD CAFE IRVINE CA","IRVINE        CA ",-8.40
12/14/2023,24755423347283471126867,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
12/14/2023,24943003347796379152894,"BLIZZARD CAFE IRVINE CA","IRVINE        CA ",-7.65
12/13/2023,24755423346283461940765,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.11
12/13/2023,24692163346109246367123,"STARBUCKS STORE 11457 IRVINE CA","IRVINE        CA ",-2.85
12/12/2023,24431063346091989001093,"REGAL IRVINE 21 1010 IRVINE CA","IRVINE        CA ",-15.30
12/12/2023,24492153346713177127415,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-18.30
12/12/2023,24137463345300708820943,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-22.47
12/11/2023,24164073344091016158506,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-37.28
12/11/2023,24204293344002201813033,"Subway 27688 Irvine CA","Irvine        CA ",-12.48
12/11/2023,24692163344107015058347,"APPLE.COM/BILL 866-712-7753 CA","866-712-7753  CA ",-6.99
12/11/2023,24137463343300706779739,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-39.77
12/09/2023,24943003342796618478188,"BLIZZARD CAFE IRVINE CA","IRVINE        CA ",-9.54
12/07/2023,24755423340283405792211,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
12/06/2023,24755423339283396668530,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
12/04/2023,33883204320120400050118,"PAYMENT - THANK YOU","",1501.47
12/04/2023,24164073337091016132476,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-44.05
12/04/2023,24204293337001834335033,"Subway 27688 Irvine CA","Irvine        CA ",-12.48
12/04/2023,24801973337091446000087,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-21.19
12/04/2023,24137463337500804695590,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-51.20
12/04/2023,74208473337000005630627,"OVERLEAF SHARELATEX LONDON","",-9.00
12/01/2023,24755423334283345578678,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
11/30/2023,24943003333796278132118,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
11/29/2023,24431063333091007001211,"REGAL IRVINE 21 1010 IRVINE CA","IRVINE        CA ",-16.00
11/29/2023,24492153333719756623596,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-13.30
11/29/2023,24755423332283323309775,"LE CAFE DU PARC IRVINE CA","IRVINE        CA ",-13.78
11/29/2023,24755423332283323064065,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
