Posted Date,Reference Number,Payee,Address,Amount
01/27/2024,24137464026300743691899,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-42.92
01/26/2024,24943004025796232230256,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
01/25/2024,24755424024260245894747,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
01/25/2024,24755424024260244384815,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
01/22/2024,24164074021091016338312,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-72.29
01/22/2024,24204294021001554229035,"Subway 27688 Irvine CA","Irvine        CA ",-16.20
01/20/2024,24943004019796395317096,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
01/19/2024,24755424018270185177027,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
01/18/2024,24755424017270171510612,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
01/17/2024,01783204320011700050130,"PAYMENT - THANK YOU","",675.37
01/17/2024,24755424016170169788116,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
01/16/2024,24801974015091448000181,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-16.22
01/16/2024,24137464015500784976389,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-20.44
01/15/2024,24431064015091018000114,"REGAL IRVINE 21 1010 IRVINE CA","IRVINE        CA ",-6.30
01/15/2024,24692164014103197329215,"TST* IRVINE IMPROV UMAMI Irvine CA","Irvine        CA ",-21.73
01/15/2024,24492154013745519387950,"DD DOORDASH PIEOLOGYP 855-973-1040 CA","855-973-1040  CA ",-20.25
01/13/2024,24943004012796463101189,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
01/12/2024,24692164012101403743379,"AMZN Mktp US*RT6QP34G1 Amzn.com/billWA","Amzn.com/bill WA ",-37.90
01/12/2024,24755424011280110682345,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
01/11/2024,24755424010270102679780,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
01/11/2024,24943004010796201275222,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
01/10/2024,24755424009270092650463,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
01/10/2024,24692164009109586644632,"APPLE.COM/BILL 866-712-7753 CA","866-712-7753  CA ",-9.99
01/08/2024,24164074007091016169913,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-55.15
01/08/2024,24204294007001640371039,"Subway 27688 Irvine CA","Irvine        CA ",-15.30
01/08/2024,24801974007091440000254,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-16.22
01/08/2024,24137464007500700486786,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-33.47
01/08/2024,24137464006300647755513,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-30.51
01/05/2024,24755424004280040438056,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
01/05/2024,24943004004796408444306,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
01/04/2024,24755424003280032462610,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.14
01/03/2024,74208474003000004537253,"OVERLEAF SHARELATEX LONDON","",-9.00
01/03/2024,24755424002260023833673,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
01/02/2024,24137463364300669638090,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-36.38
01/02/2024,24492153364713175958669,"DD DOORDASH BRIOITALI 855-973-1040 CA","855-973-1040  CA ",-20.60
12/30/2023,24801973363091441000089,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-16.22
12/30/2023,24137463363500884342094,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-14.57
12/29/2023,36383204320122900050125,"PAYMENT - THANK YOU","",675.37
