Posted Date,Reference Number,Payee,Address,Amount
07/26/2024,24755424207292070332237,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
07/26/2024,24692164207101382651473,"IN *VARSITY DRIVING ACADE949-3874400 CA","949-3874400   CA ",-458.00
07/26/2024,24943004207024691102217,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
07/25/2024,24755424206282069633662,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
07/25/2024,24223694206030038382313,"MAGS DONUTS & BAKERY IRVINE CA","IRVINE        CA ",-5.31
07/24/2024,24013394205005163174364,"NALUS HAWAIIAN FISH GRILLIRVINE CA","IRVINE        CA ",-17.24
07/23/2024,24137464204500771137988,"TST* PIEOLOGY - SPECTRUM IRVINE CA","IRVINE        CA ",-17.39
07/23/2024,20406005720001695122436,"Online payment from CHK 0491","",1165.31
07/22/2024,24164074203091016302904,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-64.13
07/22/2024,24164074203091016302912,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-6.99
07/19/2024,24755424200282007444178,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-5.12
07/18/2024,24755424199281998502211,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
07/18/2024,24943004199019958053053,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
07/17/2024,24755424198291981128248,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
07/16/2024,24801974197029549895125,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-18.15
07/15/2024,24137464197001460983484,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-43.33
07/15/2024,24692164196101238723016,"Amazon.com*RY8YC2KO1 Amzn.com/billWA","Amzn.com/bill WA ",-43.35
07/15/2024,24492154196713274554510,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-18.39
07/15/2024,24692164196101026074408,"SQ *SHAKE SHACK Irvine CA","Irvine        CA ",-15.29
07/15/2024,24692164195100471759654,"GOOGLE *FIBER PNNvvW g.co/helppay#CA","g.co/helppay# CA ",-70.00
07/12/2024,24755424193291933121189,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
07/12/2024,24943004193016397067781,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
07/11/2024,24755424192281928114308,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
07/11/2024,24692164192100914722262,"AMAZON MKTPL*RY6G41JX1 Amzn.com/billWA","Amzn.com/bill WA ",-16.14
07/11/2024,24943004192015845028743,"BLIZZARD CAFE IRVINE CA","IRVINE        CA ",-9.00
07/11/2024,24692164192100652943682,"APPLE.COM/BILL 866-712-7753 CA","866-712-7753  CA ",-9.99
07/09/2024,24755424190271903281265,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
07/08/2024,24164074189091016126723,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-43.02
07/08/2024,24204294189002065297030,"Subway 27688 Irvine CA","Irvine        CA ",-15.49
07/08/2024,24801974189022131920997,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-18.15
07/08/2024,24492154189717136091917,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-22.39
07/08/2024,24137464189001452497857,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-62.89
07/05/2024,24137464186300711767446,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-22.78
07/05/2024,24943004186012466011577,"BLIZZARD CAFE IRVINE CA","IRVINE        CA ",-7.65
07/05/2024,24692164186105894386796,"AMZN Mktp US*R778O61O0 Amzn.com/billWA","Amzn.com/bill WA ",-21.49
07/04/2024,24943004185011835056181,"BLIZZARD CAFE IRVINE CA","IRVINE        CA ",-0.17
07/04/2024,24943004185011835056488,"BLIZZARD CAFE IRVINE CA","IRVINE        CA ",-9.00
07/03/2024,74208474185000010152410,"OVERLEAF SHARELATEX LONDON","",-9.00
07/03/2024,24755424184181841676112,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
07/03/2024,24692164184104493730621,"AMAZON MKTPL*R734Q6OP1 Amzn.com/billWA","Amzn.com/bill WA ",-50.03
07/02/2024,24692164183103493642001,"IN-N-OUT LAGUNA HILLS LAGUNA HILLS CA","LAGUNA HILLS  CA ",-9.32
07/02/2024,24034544183000058047529,"7-ELEVEN 20803 LAKE FOREST CA","LAKE FOREST   CA ",-3.49
07/01/2024,24431064183010519600723,"REGAL IRVINE 21 1010 IRVINE CA","IRVINE        CA ",-15.90
07/01/2024,24492154183745151642781,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-18.39
07/01/2024,24692164183102962897195,"AMZN Mktp US*RC4AC4KJ2 Amzn.com/billWA","Amzn.com/bill WA ",-43.09
07/01/2024,24164074182091016204048,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-62.98
07/01/2024,24204294181002209675032,"Subway 27688 Irvine CA","Irvine        CA ",-16.09
