Posted Date,Reference Number,Payee,Address,Amount
06/28/2024,24755424179291796044005,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
06/27/2024,24755424178291780700076,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
06/27/2024,24943004178007569140869,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
06/26/2024,24755424177291770145713,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
06/25/2024,24801974176009210759052,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-18.15
06/24/2024,24492154176713991989092,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-19.39
06/24/2024,24137464176001518358999,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-47.09
06/24/2024,24755424175131758514278,"LE CAFE DU PARC IRVINE CA","IRVINE        CA ",-18.09
06/24/2024,24692164174105975967013,"SQ *RIO SOFT SERVE 2 Irvine CA","Irvine        CA ",-8.60
06/21/2024,24755424172281728665131,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
06/20/2024,24943004171796076377132,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
06/19/2024,24755424170281708176960,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
06/18/2024,24801974169004943686580,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-13.77
06/18/2024,24137464169100191750578,"BARNES & NOBLE #2141 IRVINE CA","IRVINE        CA ",-26.88
06/18/2024,24137464169100191750404,"BARNES & NOBLE #2141 IRVINE CA","IRVINE        CA ",-100.24
06/17/2024,24137464169001577846792,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-40.23
06/15/2024,16783204320061700050208,"PAYMENT - THANK YOU","",1017.21
06/14/2024,24755424165291650909984,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
06/14/2024,24943004165796041833316,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
06/14/2024,24943004165796003117534,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-1.35
06/14/2024,24692164165107885814716,"GOOGLE *FIBER 2TZ6TD g.co/helppay#CA","g.co/helppay# CA ",-70.00
06/13/2024,24755424164281648699590,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
06/12/2024,24755424163291630279856,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
06/11/2024,24801974162002150584891,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-18.15
06/10/2024,24137464162001536979251,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-61.06
06/10/2024,24692164161104739222943,"APPLE.COM/BILL 866-712-7753 CA","866-712-7753  CA ",-9.99
06/10/2024,24692164161104544363825,"SQ *SHAKE SHACK Irvine CA","Irvine        CA ",-15.05
06/10/2024,24492154161743517098406,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-18.39
06/07/2024,24943004158796858749802,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
06/06/2024,24755424157291574725094,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
06/05/2024,24755424156291565394364,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
06/04/2024,24137464155300765838454,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-15.98
06/04/2024,24692164155109560193400,"TST* POACHED NEIGHBORHOODIrvine CA","Irvine        CA ",-28.23
06/03/2024,74208474155000010368814,"OVERLEAF SHARELATEX LONDON","",-9.00
06/03/2024,24801974154091446000150,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-18.15
06/03/2024,24137464154001619397645,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-54.92
06/01/2024,24943004152796853132489,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
05/31/2024,24755424151291511213200,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
05/30/2024,24755424150281508001883,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
05/30/2024,24943004150796528416103,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
05/29/2024,24755424149271492364615,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
05/29/2024,24692164149104474078143,"INSOMNIA COOKIES- IRVI IRVINE CA","IRVINE        CA ",-8.75
