Posted Date,Reference Number,Payee,Address,Amount
03/28/2024,08883204320032800050170,"PAYMENT - THANK YOU","",1176.56
03/28/2024,24137464087300691046662,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-18.06
03/28/2024,24755424087280877962004,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
03/28/2024,24943004087796021205555,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
03/28/2024,24943004087796021155412,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
03/27/2024,24755424086280866509841,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
03/26/2024,24431064086091003000255,"REGAL IRVINE 21 1010 IRVINE CA","IRVINE        CA ",-6.30
03/26/2024,24445004085100148673511,"MICRO CENTER TUSTIN TUSTIN CA","TUSTIN        CA ",-942.10
03/26/2024,24692164085107027208014,"AMZN Mktp US*RA5SC7LD2 Amzn.com/billWA","Amzn.com/bill WA ",-74.89
03/25/2024,08583204320032500050168,"PAYMENT - THANK YOU","",3175.47
03/25/2024,24692164085106965872229,"SQ *SHAKE SHACK Irvine CA","Irvine        CA ",-15.05
03/25/2024,24943004085838000810492,"DUNKIN #355040 TUSTIN CA","TUSTIN        CA ",-3.58
03/25/2024,24011344084000046349112,"BURGER BOSS 195-12990200 CA","195-12990200  CA ",-15.73
03/25/2024,24164074084091247500353,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-106.25
03/25/2024,24204294083001679510033,"Subway 27688 Irvine CA","Irvine        CA ",-12.54
03/22/2024,24755424081290810058485,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
03/22/2024,24223694081030039284583,"MAGS DONUTS & BAKERY IRVINE CA","IRVINE        CA ",-5.31
03/21/2024,24013394080002387078372,"NALUS HAWAIIAN FISH GRILLIRVINE CA","IRVINE        CA ",-21.40
03/21/2024,24431064080083706873670,"AMAZON.COM*R69FA2KX1 SEATTLE WA","SEATTLE       WA ",-58.73
03/20/2024,24692164080102776118006,"APPLE.COM/BILL 866-712-7753 CA","866-712-7753  CA ",-19.99
03/20/2024,24755424079270796537904,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
03/19/2024,24692164078101359088051,"GOOGLE *FIBER DBQLDR g.co/helppay#CA","g.co/helppay# CA ",-70.00
03/18/2024,24137464077300719413862,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-24.64
03/18/2024,24801974077091449000318,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-21.19
03/18/2024,24943004077400091000408,"CHEESECAKE IRVINE IRVINE CA","IRVINE        CA ",-27.73
03/18/2024,24137464077001485168918,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-21.49
03/18/2024,24137464076300741726175,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-14.48
03/18/2024,24013394076001853036415,"EL TORO PHARMACY LAGUNA HILLS CA","LAGUNA HILLS  CA ",-2.00
03/16/2024,24116414076400651000791,"FD *CA DMV 605 LAGUNA HILLS CA","LAGUNA HILLS  CA ",-45.00
03/16/2024,24116414076091412000798,"FD *CA DMV 605 *SVC 800-777-0133 CA","800-777-0133  CA ",-0.95
03/16/2024,24755424075280753350369,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
03/16/2024,24492154075745286852264,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-16.35
03/16/2024,24492154075713257575397,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-15.39
03/15/2024,24755424074280747736450,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
03/15/2024,24943004074796869624714,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
03/15/2024,24943004074796869578670,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
03/14/2024,24755424073280733776586,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
03/13/2024,24755424072270722225571,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
03/12/2024,24013394071001306027974,"INDIAN WELLS TENNIS GARDEINDIAN WELLS CA","INDIAN WELLS  CA ",-26.94
