Posted Date,Reference Number,Payee,Address,Amount
05/28/2024,24755424149131491173302,"LE CAFE DU PARC IRVINE CA","IRVINE        CA ",-3.64
05/28/2024,24801974148091440000296,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-13.77
05/27/2024,24137464148001505781364,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-71.55
05/27/2024,24164074147091016338220,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-65.65
05/27/2024,24431064147400000020694,"LUNA GRILL 007 IRVINE CA","IRVINE        CA ",-27.48
05/27/2024,24492154147743215861278,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-26.19
05/24/2024,24755424144291440800176,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
05/23/2024,24755424143281437637021,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
05/23/2024,24692164143102690823389,"AMZN Mktp US*I76OP93K3 Amzn.com/billWA","Amzn.com/bill WA ",-62.12
05/23/2024,24943004143796369879096,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
05/23/2024,24692164143102419530877,"APPLE.COM/BILL 866-712-7753 CA","866-712-7753  CA ",-49.99
05/22/2024,24755424142291421952915,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
05/22/2024,24692164142101641610367,"TM *SNARKY PUPPY-SAT P 800-653-8000 CA","800-653-8000  CA ",-66.90
05/21/2024,24492154142715406816480,"ALLIANZ EVENT INS ALLIANZINS.USVA","ALLIANZINS.US VA ",-9.25
05/20/2024,14183204320052000050197,"PAYMENT - THANK YOU","",909.12
05/20/2024,24164074140091016139211,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-124.11
05/20/2024,24204294140001695821035,"Subway 27688 Irvine CA","Irvine        CA ",-16.09
05/20/2024,24801974140091442000110,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-18.15
05/20/2024,24137464140001532461608,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-77.35
05/20/2024,24692164139109364349019,"AMZN Mktp US*614FO41Q3 Amzn.com/billWA","Amzn.com/bill WA ",-14.16
05/20/2024,24492154139713939355329,"DD DOORDASH HAKO 855-973-1040 CA","855-973-1040  CA ",-31.94
05/18/2024,24692164139108920897131,"AMZN Mktp US*WJ5B13IV3 Amzn.com/billWA","Amzn.com/bill WA ",-37.82
05/17/2024,24755424137291374793925,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
05/17/2024,24943004137796349826637,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
05/17/2024,24943004137796311776430,"BLIZZARD CAFE IRVINE CA","IRVINE        CA ",-4.15
05/16/2024,24755424136281369890886,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
05/15/2024,24755424135281354430517,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
05/15/2024,24943004135796036267253,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
05/15/2024,24943004135796013214286,"BLIZZARD CAFE IRVINE CA","IRVINE        CA ",-4.15
05/14/2024,24137464134300758994658,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-7.08
05/14/2024,24137464134300758994575,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-45.48
05/14/2024,24755424134271341418627,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
05/14/2024,24692164134104986657183,"GOOGLE *FIBER 26HHwQ g.co/helppay#CA","g.co/helppay# CA ",-70.00
05/13/2024,24492154134743110764283,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-129.52
05/13/2024,74357044133002622800959,"TOGO INTERNACIONAL CALLAO","",-14.50
05/13/2024,24793354133428007321552,"FOREIGN TRANSACTION FEE","",-0.05
05/13/2024,24793354133428007321552,"CASA BAUDUCCO GUARULHOS","",-1.92
05/10/2024,24692164130101755399645,"APPLE.COM/BILL 866-712-7753 CA","866-712-7753  CA ",-9.99
05/06/2024,74357044126000253000245,"FOREIGN TRANSACTION FEE","",-0.44
05/06/2024,74357044126000253000245,"IZI*TOTTY LIMA","",-14.81
05/06/2024,74919554126060020342337,"FOREIGN TRANSACTION FEE","",-0.41
05/06/2024,74919554126060020342337,"CHICHA POR G ACURIO CUSCOCUSCO","",-13.87
05/06/2024,74357044125005164600042,"FOREIGN TRANSACTION FEE","",-0.09
05/06/2024,74357044125005164600042,"IZI*REST APU INTI LIMA","",-3.23
05/04/2024,74357044124006598900041,"FOREIGN TRANSACTION FEE","",-1.91
05/04/2024,74357044124006598900041,"IZI*ARTESANIAS YONI LIMA","",-63.97
05/04/2024,74357044124005496800154,"FOREIGN TRANSACTION FEE","",-0.46
05/04/2024,74357044124005496800154,"IZI*DON PANCHO TABERNA PLIMA","",-15.59
05/04/2024,74357044124004017100079,"FOREIGN TRANSACTION FEE","",-0.08
05/04/2024,74357044124004017100079,"IZI*DON ANGEL RESTAURANT LIMA","",-2.67
05/03/2024,74208474124000010243650,"OVERLEAF SHARELATEX LONDON","",-9.00
05/03/2024,74919554123061232938741,"FOREIGN TRANSACTION FEE","",-0.28
05/03/2024,74919554123061232938741,"HOTEL PLAZA CUSCO CUSCO","",-9.47
05/02/2024,74919554122061223402955,"FOREIGN TRANSACTION FEE","",-0.24
05/02/2024,74919554122061223402955,"MC DONALDS CUS CUSCO","",-8.25
05/02/2024,74357044122003116600239,"FOREIGN TRANSACTION FEE","",-0.22
05/02/2024,74357044122003116600239,"IZI*CAFE PANAM LIMA","",-7.47
05/02/2024,24830444122008761020090,"FOREIGN TRANSACTION FEE","",-0.61
05/02/2024,24830444122008761020090,"Uber *UBER *TRIP Sao Paulo","",-20.38
05/02/2024,24830444122006260500513,"FOREIGN TRANSACTION FEE","",-0.11
05/02/2024,24830444122006260500513,"Uber *UBER *TRIP Sao Paulo","",-3.91
