Posted Date,Reference Number,Payee,Address,Amount
11/28/2023,24692163331105219901325,"AMZN Mktp US*AF8E28AJ3 Amzn.com/billWA","Amzn.com/bill WA ",-139.75
11/27/2023,24431063330083332594344,"AMAZON.COM*QA9OX0213 SEATTLE WA","SEATTLE       WA ",-1244.50
11/27/2023,24164073330091016295528,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-13.04
11/27/2023,24204293330001890321031,"Subway 27688 Irvine CA","Irvine        CA ",-12.35
11/27/2023,24137463329300625336486,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-28.51
11/24/2023,32883204320112400050109,"PAYMENT - THANK YOU","",850.05
11/22/2023,24943003325796236185927,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
11/21/2023,24755423324263248793626,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
11/21/2023,24801973324091444000209,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-16.64
11/21/2023,24137463324500756273284,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-59.85
11/20/2023,24137463322300722769644,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-37.88
11/17/2023,24755423320293201501827,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
11/15/2023,24755423318283182547844,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
11/15/2023,24692163318104560794188,"AMZN Mktp US*QP2C27LG3 Amzn.com/billWA","Amzn.com/bill WA ",-59.25
11/13/2023,24055223317400107000392,"ZIP KOREAN BBQ TUSTIN CA","TUSTIN        CA ",-42.00
11/13/2023,24164073316091016329440,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-65.16
11/13/2023,24204293315001768952056,"Subway 27688 Irvine CA","Irvine        CA ",-10.52
11/11/2023,24943003314796547751543,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
11/10/2023,24755423313283138008540,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
11/10/2023,24692163313100516914099,"AMZN Mktp US*XK25K5EJ3 Amzn.com/billWA","Amzn.com/bill WA ",-32.31
11/09/2023,24692163312109745390600,"AMZN Mktp US*G08GV6JZ3 Amzn.com/billWA","Amzn.com/bill WA ",-21.54
11/09/2023,24943003312796255415168,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
11/08/2023,24755423311283116841468,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
11/07/2023,24137463310300741003292,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-19.02
11/07/2023,24011343310000020931644,"SP BLIZZCON CLICK AND BLINK.GEAR.BLIN","BLINK.GEAR.BL IN ",9.04
11/07/2023,24692163310108129466434,"TST* Poached NeighborhoodIrvine CA","Irvine        CA ",-27.66
11/06/2023,24137463309300768472654,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-34.94
11/04/2023,24755423308123080996143,"AMK S AND E ANAHEIM CONV ANAHEIM CA","ANAHEIM       CA ",-3.25
11/04/2023,24692163308106187980803,"SQ *MACA LLC TUSTIN CA","TUSTIN        CA ",-20.69
11/04/2023,24638583307017025414490,"HIRONORI CRAFT RAMEN- SANIRVINE CA","IRVINE        CA ",-24.93
11/04/2023,24011343307000051430156,"SP BLIZZCON CLICK AND BLINK.GEAR.BLIN","BLINK.GEAR.BL IN ",-9.04
11/03/2023,74208473307000005025071,"OVERLEAF SHARELATEX LONDON","",-9.00
11/03/2023,24755423306293066876338,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
11/02/2023,24943003305796201176731,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
11/01/2023,24755423304283041914637,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
11/01/2023,24755423304283041914629,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.87
10/30/2023,24164073302091016111323,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-103.12
10/30/2023,24204293302001604675031,"Subway 27688 Irvine CA","Irvine        CA ",-12.35
