Posted Date,Reference Number,Payee,Address,Amount
10/27/2023,24755423299282999343358,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
10/27/2023,24692163299102245734879,"AMZN Mktp US*1E1348MX3 Amzn.com/billWA","Amzn.com/bill WA ",-38.65
10/27/2023,24943003299796286311433,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
10/26/2023,24137463298300759685838,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-31.96
10/24/2023,24164073296091016190929,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-34.79
10/24/2023,24204293296313344270132,"Subway 27688 Irvine CA","Irvine        CA ",-12.48
10/23/2023,24492153295717358850092,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-25.10
10/23/2023,29506005720005000974464,"Online payment from CHK 0491","",670.00
10/21/2023,24137463293300806452591,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-35.89
10/20/2023,24755423292282926668635,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
10/20/2023,24755423292282926668627,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.39
10/19/2023,24943003291796048350917,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
10/17/2023,24137463289300749892750,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-62.24
10/16/2023,24801973288091440000264,"BURGER LOUNGE IRVINE IRVINE CA","IRVINE        CA ",-21.74
10/16/2023,24137463288500874800962,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-21.18
10/11/2023,24755423283282833024261,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
10/10/2023,24692163282108413308189,"AMZN Mktp US*T95QE9Y31 Amzn.com/billWA","Amzn.com/bill WA ",-9.69
10/09/2023,24431063282091015001667,"REGAL IRVINE 21 1010 IRVINE CA","IRVINE        CA ",-14.90
10/09/2023,24492153282719085643506,"REGAL CINEMAS INC 8778355734 TN","8778355734    TN ",-18.30
10/09/2023,24164073281091016138719,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-87.15
10/09/2023,24204293281005386010130,"Subway 27688 Irvine CA","Irvine        CA ",-12.48
10/09/2023,24492153280717762036004,"DD DOORDASH HAKO 855-973-1040 CA","855-973-1040  CA ",-10.45
10/06/2023,24431063278083729560506,"AMAZON.COM*T92HH0GJ1 SEATTLE WA","SEATTLE       WA ",-45.19
10/06/2023,24755423278292781564017,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
10/05/2023,24943003277796878209827,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
10/03/2023,74208473276000004157575,"OVERLEAF SHARELATEX LONDON","",-9.00
10/03/2023,24137463275300807273055,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-14.98
10/02/2023,24164073274091016114040,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-60.95
10/02/2023,24204293274006105710132,"Subway 27688 Irvine CA","Irvine        CA ",-12.48
10/02/2023,24492153273745544830526,"DD DOORDASH WHEALTHY 855-973-1040 CA","855-973-1040  CA ",-23.20
09/29/2023,24137463271300779401845,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-24.72
09/29/2023,24755423271282719337146,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
09/29/2023,24198803271338691148543,"PAYPAL *HANDS ON HANDS 8024343357 VT","8024343357    VT ",-40.99
09/29/2023,24943003271796950589159,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
