Posted Date,Reference Number,Payee,Address,Amount
09/28/2023,24755423270282706415922,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
09/28/2023,74431063270083006000450,"AMAZON.COM SEATTLE WA","SEATTLE       WA ",0.06
09/27/2023,24755423269282696234500,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
09/27/2023,24431063269083348993592,"AMAZON.COM*T12I28YN2 SEATTLE WA","SEATTLE       WA ",-38.74
09/25/2023,24492153266745336952958,"DD DOORDASH DIHOSIAM 855-973-1040 CA","855-973-1040  CA ",-25.52
09/23/2023,26606005720001507268521,"Online payment from CHK 0491","",1400.00
09/22/2023,24755423264292641925172,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
09/21/2023,24055223264400522000475,"S'WICH BISTRO, LLC IRVINE CA","IRVINE        CA ",-17.44
09/21/2023,24943003263796734288276,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
09/19/2023,24137463261300729609069,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-28.21
09/15/2023,24137463257300769809344,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-16.98
09/15/2023,24755423257282577784536,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.14
09/14/2023,24755423256282565426273,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.12
09/14/2023,24943003256796689783221,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
09/13/2023,24692163256106789944811,"AMZN Mktp US*TR6Z07750 Amzn.com/billWA","Amzn.com/bill WA ",-70.01
09/13/2023,24137463255300738842535,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-23.98
09/13/2023,24755423255282556857172,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.14
09/12/2023,24943003255400059000289,"CHEESECAKE IRVINE IRVINE CA","IRVINE        CA ",-32.50
09/11/2023,24692163254105372300268,"SQ *SOMISOMI Irvine CA","Irvine        CA ",-8.95
09/11/2023,24137463254001380661212,"WHOLEFDS IRV #10614 IRVINE CA","IRVINE        CA ",-79.05
09/11/2023,24492153252719939511632,"DD DOORDASH PICKUPSTI 855-973-1040 CA","855-973-1040  CA ",-23.93
09/08/2023,24755423250292500775508,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.93
09/08/2023,24943003250796782062693,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
09/07/2023,24431063249083728490776,"AMAZON.COM*TL9PW3HW1 AMZNAMZN.COM/BILLWA","AMZN.COM/BILL WA ",-44.24
09/06/2023,24755423248272487658443,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.87
09/04/2023,24164073246091016229181,"TARGET 00021287 IRVINE CA","IRVINE        CA ",-73.45
09/04/2023,24204293246005455840130,"Subway 27688 Irvine CA","Irvine        CA ",-12.48
09/04/2023,24692163246102015912352,"AMZN Mktp US*TL2ZZ60Z0 Amzn.com/billWA","Amzn.com/bill WA ",-38.78
09/04/2023,74208473246000004272215,"OVERLEAF SHARELATEX LONDON","",-9.00
09/04/2023,24431063246400000020506,"LUNA GRILL 007 IRVINE CA","IRVINE        CA ",-26.64
09/04/2023,24137463245300725325984,"VILLAGE MARKET IRVINE CA","IRVINE        CA ",-34.38
09/02/2023,24943003244796888184911,"BLIZZARD MOBIL IRVINE CA","IRVINE        CA ",-20.00
09/01/2023,24755423243282438614861,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-1.07
08/31/2023,24755423242282424757907,"ANNIES TABLE IRVINE CA","IRVINE        CA ",-0.87
08/30/2023,24055223242400520000458,"S'WICH BISTRO, LLC IRVINE CA","IRVINE        CA ",-17.44
