Description,,Summary Amt.
Beginning balance as of 02/20/2023,,"23,363.65"
Total credits,,"115,133.07"
Total debits,,"-132,729.50"
Ending balance as of 07/31/2024,,"5,767.22"

Date,Description,Amount,Running Bal.
02/20/2023,Beginning balance as of 02/20/2023,,"23,363.65"
02/21/2023,"LE CAFE DU PARC 02/18 PURCHASE IRVINE CA","-14.95","23,348.70"
02/21/2023,"LS ROCK N ROAD CYCLERY 02/18 PURCHASE XXX-XX86722 CA","-1,171.53","22,177.17"
02/21/2023,"VILLAGE MARKET 02/18 PURCHASE IRVINE CA","-90.22","22,086.95"
02/21/2023,"STARBUCKS STORE 28506 02/19 PURCHASE IRVINE CA","-11.50","22,075.45"
02/21/2023,"WHOLEFDS IRV # 02/19 PURCHASE IRVINE CA","-73.13","22,002.32"
02/21/2023,"LUNA GRILL 007 02/20 PURCHASE IRVINE CA","-26.05","21,976.27"
02/21/2023,"VILLAGE M 41 P 02/20 PURCHASE IRVINE CA","-7.04","21,969.23"
02/21/2023,"TARGET T- 900 02/21 PURCHASE Irvine CA","-42.78","21,926.45"
02/23/2023,"BANK OF AMERICA CREDIT CARD Bill Payment","-2,281.44","19,645.01"
02/24/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.28","22,371.29"
02/24/2023,"BESTBUYCOMXXXXX4527387 02/22 PURCHASE 888BESTBUY MN","-572.83","21,798.46"
02/27/2023,"IKEA ORANGE CO 02/25 PURCHASE COSTA MESA CA","-295.96","21,502.50"
02/27/2023,"VILLAGE MARKET 02/25 PURCHASE IRVINE CA","-55.48","21,447.02"
02/27/2023,"NEWEGG INC. 02/26 PURCHASE 800-390-1119 CA","-2,655.29","18,791.73"
02/28/2023,"MAIDO 02/26 PURCHASE COSTA MESA CA","-11.37","18,780.36"
03/01/2023,"TARGET T- 900 03/01 PURCHASE Irvine CA","-89.86","18,690.50"
03/02/2023,"The Park Apartme DES:WEB PMTS ID:PC91V9 INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,415.00","16,275.50"
03/02/2023,"Bank of America Credit Card Bill Payment","-1,632.42","14,643.08"
03/10/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.26","17,369.34"
03/10/2023,"ACTIVISION BLIZZ DES:DIRECT-PAY ID: 34788578 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD","610.49","17,979.83"
03/20/2023,"GOOGLE *FIBER GSzH52 03/18 PURCHASE g.co/helppay# CA","-102.67","17,877.16"
03/21/2023,"Bank of America Credit Card Bill Payment","-1,366.41","16,510.75"
03/24/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.27","19,237.02"
03/27/2023,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-8.87","19,228.15"
03/28/2023,"The Park Apartme DES:WEB PMTS ID:RLYGX9 INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-38.04","19,190.11"
03/30/2023,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX5554 CO ID:XXXXX52494 WEB","-46.18","19,143.93"
04/05/2023,"Online Banking transfer to SAV 0501 Confirmation# XXXXX49535","-12,000.00","7,143.93"
04/05/2023,"VENMO* 04/05 PMNT SENT Visa Direct NY","-10.00","7,133.93"
04/06/2023,"The Park Apartme DES:WEB PMTS ID:XTFSZ9 INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,415.00","4,718.93"
04/07/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.28","7,445.21"
04/07/2023,"ACTIVISION BLIZZ DES:DIRECT-PAY ID: 37291140 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD","100.00","7,545.21"
04/07/2023,"VENMO* 04/07 PMNT SENT Visa Direct NY","-1.00","7,544.21"
04/07/2023,"VENMO* 04/07 PMNT SENT Visa Direct NY","-219.00","7,325.21"
04/13/2023,"TARGET 00021287 04/12 MOBILE PURCHASE IRVINE CA","-3.69","7,321.52"
04/13/2023,"TARGET 00021287 04/12 MOBILE PURCHASE IRVINE CA","-46.91","7,274.61"
04/13/2023,"Subway 27688 04/12 MOBILE PURCHASE Irvine CA","-11.71","7,262.90"
04/17/2023,"Subway 27688 04/15 MOBILE PURCHASE Irvine CA","-15.08","7,247.82"
04/19/2023,"GOOGLE *FIBER V3PN34 04/18 PURCHASE g.co/helppay# CA","-70.00","7,177.82"
04/20/2023,"EXPENSEPRO LLC DES:ACH ITEM ID:BLIZZARD-1337 INDN:F NASCIMENTO CO ID:XXXXX30560 PPD","161.78","7,339.60"
04/21/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.27","10,065.87"
04/21/2023,"Bank of America Credit Card Bill Payment","-2,105.27","7,960.60"
04/24/2023,"ACM SIGGRAPH 04/21 PURCHASE 212-626-0596 NY","-920.00","7,040.60"
04/24/2023,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-43.38","6,997.22"
04/24/2023,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX6162 CO ID:XXXXX52494 WEB","-23.43","6,973.79"
04/28/2023,"ACTIVISION BLIZZ DES:DIRECT-PAY ID: 39099924 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD","70.00","7,043.79"
05/01/2023,"BKOFAMERICA MOBILE 04/29 XXXXX23358 DEPOSIT *MOBILE CA","6,537.36","13,581.15"
05/02/2023,"The Park Apartme DES:WEB PMTS ID:L0K12B INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,467.56","11,113.59"
05/05/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.26","13,839.85"
05/05/2023,"ACTIVISION BLIZZ DES:DIRECT-PAY ID: 39715007 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD","919.00","14,758.85"
05/10/2023,"BANK OF AMERICA CREDIT CARD Bill Payment","-2,081.82","12,677.03"
05/17/2023,"Online Banking transfer to SAV 0501 Confirmation# XXXXX27207","-5,000.00","7,677.03"
05/17/2023,"Wise Inc DES:WISE ID:TrnWise INDN:Filipe de Carvalho Nas CO ID:XXXXX33521 PPD","-50.07","7,626.96"
05/18/2023,"Wise Inc DES:WISE ID:TrnWise INDN:Filipe de Carvalho Nas CO ID:XXXXX33521 PPD","-6,007.80","1,619.16"
05/19/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,720.62","4,339.78"
05/19/2023,"GOOGLE *FIBER w7LKFL 05/18 PURCHASE g.co/helppay# CA","-70.00","4,269.78"
05/22/2023,"VENMO* 05/20 PMNT SENT Visa Direct NY","-27.50","4,242.28"
05/26/2023,"ACTIVISION BLIZZ DES:DIRECT-PAY ID: 42753723 INDN:Filipe de Carvalho Nas CO ID:XXXXX76753 PPD","70.00","4,312.28"
05/26/2023,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-43.58","4,268.70"
05/26/2023,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX8723 CO ID:XXXXX52494 WEB","-17.43","4,251.27"
05/30/2023,"Carls Jr 296 05/27 MOBILE PURCHASE IRVINE CA","-12.05","4,239.22"
05/30/2023,"MCDONALD'S F16133 05/28 MOBILE PURCHASE IRVINE CA","-12.27","4,226.95"
06/02/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.26","6,953.21"
06/05/2023,"The Park Apartme DES:WEB PMTS ID:FRPS6B INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,467.71","4,485.50"
06/08/2023,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX8121 CO ID:XXXXX52494 WEB","-18.56","4,466.94"
06/13/2023,"BANK OF AMERICA CREDIT CARD Bill Payment","-1,768.08","2,698.86"
06/16/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.29","5,425.15"
06/20/2023,"GOOGLE *FIBER 7B3XwT 06/18 PURCHASE g.co/helppay# CA","-70.00","5,355.15"
06/26/2023,"BANK OF AMERICA CREDIT CARD Bill Payment","-892.83","4,462.32"
06/27/2023,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-51.89","4,410.43"
06/30/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.26","7,136.69"
06/30/2023,"Bank of America Credit Card Bill Payment","-1,562.03","5,574.66"
07/06/2023,"The Park Apartme DES:WEB PMTS ID:J7R7BB INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,467.63","3,107.03"
07/10/2023,"Bank of America Credit Card Bill Payment","-1,562.03","1,545.00"
07/14/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.27","4,271.27"
07/19/2023,"GOOGLE *FIBER 9LLV39 07/18 PURCHASE g.co/helppay# CA","-70.00","4,201.27"
07/20/2023,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX8138 CO ID:XXXXX52494 WEB","-17.61","4,183.66"
07/25/2023,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-87.68","4,095.98"
07/28/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.27","6,822.25"
08/02/2023,"Online Banking payment to CRD 3827 Confirmation# XXXXX12633","-1,700.00","5,122.25"
08/03/2023,"MINT MOBILE 08/02 PURCHASE 800-683-7392 CA","-225.70","4,896.55"
08/03/2023,"VENMO* 08/03 PMNT SENT Visa Direct NY","-17.00","4,879.55"
08/03/2023,"The Park Apartme DES:WEB PMTS ID:6VV4FB INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,468.58","2,410.97"
08/11/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.28","5,137.25"
08/14/2023,"Online Banking payment to CRD 3827 Confirmation# XXXXX73599","-1,700.00","3,437.25"
08/21/2023,"GOOGLE *FIBER 787xwJ 08/18 PURCHASE g.co/helppay# CA","-69.24","3,368.01"
08/25/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,725.08","6,093.09"
08/25/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,368.85","8,461.94"
08/28/2023,"Zelle Transfer Conf# mzjuscmjb; RAFAEL CAMPOS","-382.50","8,079.44"
08/29/2023,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX8966 CO ID:XXXXX52494 WEB","-19.51","8,059.93"
09/01/2023,"SO CAL EDISON CO DES:BILL PAYMT ID:XXXXX1234296 INDN:de Carvalho Nascimento CO ID:XXXXX40335 WEB","-67.78","7,992.15"
09/05/2023,"Online Banking transfer to SAV 0501 Confirmation# XXXXX65230","-5,000.00","2,992.15"
09/06/2023,"The Park Apartme DES:WEB PMTS ID:3V41KB INDN:Filipe de Carvalho Nas CO ID:XXXXX74681 WEB","-2,476.73","515.42"
09/08/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.27","3,241.69"
09/19/2023,"GOOGLE *FIBER 3z89J4 09/18 PURCHASE g.co/helppay# CA","-70.00","3,171.69"
09/19/2023,"SO CAL GAS DES:PAID SCGC ID:XXXXX01925 INDN:XXXXX1474XXXXX4901 CO ID:XXXXX52494 WEB","-17.31","3,154.38"
09/22/2023,"BLIZZARD ENTERTA DES:PAYROLL ID:639380 INDN:DE CARVALHO NASCIMENTO CO ID:XXXXX40773 PPD","2,726.27","5,880.65"
09/25/2023,"Online Banking payment to CRD 3827 Confirmation# XXXXX26852","-1,400.00","4,480.65"
