Description,Category
BKOFAMERICA ATM 01/25 #XXXXX3431 WITHDRWL IRVINE IRVINE CA,ATM/Cash Withdrawals
Agent Assisted transfer to Sav 0501 Confirmation# XXXXX54876,Savings
RALPHS #0299 6 01/25 PURCHASE IRVINE CA,Fast Food
LS ROCK N ROAD CYCLERY 01/25 PURCHASE XXX-XX86722 CA,Bike
NIKO NIKO JAPANESE CUIS 01/25 PURCHASE IRVINE CA,Restaurants
IHOP #0929 01/26 PURCHASE IRVINE CA,Cofee Shops
IHOP #0929 01/27 PURCHASE IRVINE CA,Cofee Shops
THE PARK APARTMENT 01/28 PURCHASE IRVINE CA,Rent
THE PARK APARTMENT 01/28 PURCHASE IRVINE CA,Rent
Carls Jr 639 01/28 PURCHASE NEWPORT BEACH CA,Fast Food
MINT MOBILE 01/28 PURCHASE 800-683-7392 CA,Telephone
IHOP #0929 01/29 PURCHASE IRVINE CA,Cofee Shops
SQ *TUK TUK THAI STREET 01/30 PURCHASE Irvine CA,Restaurants
CHEVRON/CSI-09 01/31 PURCHASE IRVINE CA,Cofee Shops
SNACK* PRESOTEA IRVINE 01/31 PURCHASE XXX-XX845156 CA,Cofee Shops
SQ *TUK TUK THAI STREET 01/31 PURCHASE Irvine CA,Restaurants
Carls Jr 639 02/01 PURCHASE NEWPORT BEACH CA,Fast Food
IHOP #0929 01/31 PURCHASE IRVINE CA,Cofee Shops
SQ *TUK TUK THAI STREET 02/02 PURCHASE Irvine CA,Restaurants
MINT MOBILE 02/03 REFUND 800-683-7392 CA,Reimbursements
MINT MOBILE 02/02 PURCHASE 800-683-7392 CA,Telephone
SQ *TUK TUK THAI STREET 02/03 PURCHASE Irvine CA,Restaurants
SNACK* PRESOTEA IRVINE 02/03 PURCHASE XXX-XX845156 CA,Cofee Shops
IHOP #0929 02/03 PURCHASE IRVINE CA,Cofee Shops
IHOP #0929 02/04 PURCHASE IRVINE CA,Cofee Shops
WENDY'S 1 5180 02/04 PURCHASE NEWPORT BEACH CA,Fast Food
CHEVRON/CSI-09 02/05 PURCHASE IRVINE CA,Cofee Shops
IHOP #0929 02/05 PURCHASE IRVINE CA,Cofee Shops
MIYABI SHABU 02/05 PURCHASE IRVINE CA,Restaurants
SQ *TUK TUK THAI STREET 02/07 PURCHASE Irvine CA,Restaurants
SNACK* PRESOTEA IRVINE 02/07 PURCHASE XXX-XX845156 CA,Cofee Shops
The Park Apartme DES:WEB PMTS ID:JMZ0S9 INDN:Filipe Nascimento CO ID:XXXXX74681 WEB,Rent
SQ *TUK TUK THAI STREET 02/08 PURCHASE Irvine CA,Restaurants
American Nationa DES:WEB PMTS ID:CQP2S9 INDN:Filipe de Carvalho Nas CO ID:XXXXX88861 WEB,Home Insurance
SQ *TUK TUK THAI STREET 02/09 PURCHASE Irvine CA,Restaurants
CHEVRON/CSI-09 02/10 PURCHASE IRVINE CA,Cofee Shops
SQ *TUK TUK THAI STREET 02/10 PURCHASE Irvine CA,Restaurants
SNACK* PRESOTEA IRVINE 02/10 PURCHASE XXX-XX845156 CA,Cofee Shops
IHOP #0929 02/11 PURCHASE IRVINE CA,Cofee Shops
IKEA ORANGE CO 02/11 PURCHASE COSTA MESA CA,Restaurants
CVS/PHARMACY # 02/11 PURCHASE Irvine CA,Pharmacy
EXPENSEPRO LLC DES:ACH ITEM ID:BLIZZARD-1337 INDN:F NASCIMENTO CO ID:XXXXX30560 PPD,Allowances
