Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Ogx Petroleo e Ga.,DMMO3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
PepsiCo Inc BDR,PEPB34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
TIM PART S/A ON,TIMS3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Ogx Petroleo e Ga.,DMMO3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Celpe Pref,CEPE5,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-19,wait,2020-10-19
CEEE-D ON,CEED3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
CEEE-D ON,CEED3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
CEEE-D ON,CEED3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Visa Inc BDR,VISA34,1M,High,Three Inside Down,Current,Bearish reversal,2020-10-19,wait,2020-10-19
COELCE ON,COCE3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2020-10-19,wait,2020-10-19
SAO MARTINHO ON,SMTO3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Alupar Invest Pre.,ALUP4,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-19,wait,2020-10-19
CSU CARDSYST ON,CARD3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
GAFISA ON,GFSA3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Parana Sanepar Un.,SAPR11,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
GAFISA ON,GFSA3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Companhia de Sane.,SAPR4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Starbucks Corp BD.,SBUB34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
Starbucks Corp BD.,SBUB34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
SANEPAR ON N2,SAPR3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-19,wait,2020-10-19
LE LIS BLANC ON,LLIS3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
METAL LEVE ON,LEVE3,1M,High,Morning Doji Star,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Citigroup Inc BDR.,CTGP34,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-19,wait,2020-10-19
BANRISUL PNB,BRSR6,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Nike Inc BDR,NIKE34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
Ferbasa,FESA3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2020-10-19,wait,2020-10-19
Ogx Petroleo e Ga.,DMMO3T,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Ogx Petroleo e Ga.,DMMO3T,1M,Low,Belt Hold Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
ConocoPhillips DR.,COPH34,1M,Medium,Homing Pigeon,Current,Bullish reversal,2020-10-19,wait,2020-10-19
PETROBRAS PN,PETR4,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Exxon Mobil Corp.,EXXO34,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-19,wait,2020-10-19
BRASKEM ON,BRKM3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-19,wait,2020-10-19
MMX Mineracao e M.,MMXM11,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Unipar Carbocloro.,UNIP5,1M,Low,Harami Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
KLABIN S/A ON N2,KLBN3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
ODONTOPREV ON,ODPV3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-19,wait,2020-10-19
BANRISUL PNB,BRSR6,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
BANCO PAN SA PN,BPAN4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
BANCO PAN SA PN,BPAN4,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
CEMIG ON,CMIG3,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-19,wait,2020-10-19
ITAUUNIBANCO ON,ITUB3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Microsoft Corp BD.,MSFT34,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Microsoft Corp BD.,MSFT34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
MULTIPLAN ON,MULT3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-19,wait,2020-10-19
SANTANDER BRPN ,SANB4,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-19,wait,2020-10-19
BANRISUL PNA,BRSR5,1M,Low,Bullish Hammer,Current,Bullish reversal,2020-10-19,wait,2020-10-19
McDonalds Corp BD.,MCDC34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
TELEF BRASIL PN,VIVT4,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Cosan Logistica S.,RLOG3,1M,High,Three Outside Down,Current,Bearish reversal,2020-10-19,wait,2020-10-19
CCR SA ON,CCRO3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
CEMIG PN,CMIG4,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-19,wait,2020-10-19
AMBEV S/A ON,ABEV3,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-19,wait,2020-10-19
B3 SA Brasil Bols.,B3SA3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
ENGIE BRASILON NM.,EGIE3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
B2W DIGITAL ON,BTOW3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
CCR SA ON,CCRO3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Bardella Pref,BDLL4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
ENERGIAS BR ON,ENBR3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
EMBRAER ON,EMBR3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-19,wait,2020-10-19
EMBRAER ON,EMBR3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
CESP PNB,CESP6,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-19,wait,2020-10-19
SANTANDER BRPN ,SANB4,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
EQUATORIAL ON,EQTL3,1W,Low,Inverted Hammer,Current,Bullish reversal,2020-10-19,wait,2020-10-19
MULTIPLAN ON,MULT3,1W,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
ITAUUNIBANCOPN EB.,ITUB4,1W,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
MULTIPLAN ON,MULT3,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Qualcomm Inc BDR,QCOM34,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
ITAUUNIBANCOPN EB.,ITUB4,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Abbott Laboratori.,ABTT34,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
SANTANDER BRPN ,SANB4,1W,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
SANTANDER BR UNT,SANB11,1W,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Hewlett Packard C.,HPQB34,1W,Low,Belt Hold Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
eBay Inc BDR,EBAY34,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
SANTANDER BR UNT,SANB11,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
ITAUUNIBANCO ON,ITUB3,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Banco Inter ON,BIDI3,1W,High,Abandoned Baby Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
LINX ON NM,LINX3,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
Banco Inter ON,BIDI3,1W,High,Evening Doji Star,Current,Bearish reversal,2020-10-19,wait,2020-10-19
BANRISUL PNA,BRSR5,1W,Low,Bullish Hammer,Current,Bullish reversal,2020-10-19,wait,2020-10-19
POSITIVO INF ON,POSI3,1W,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
POSITIVO INF ON,POSI3,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
BANRISUL PNB,BRSR6,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
PORTO SEGURO ON,PSSA3,1W,High,Three Inside Up,Current,Bullish reversal,2020-10-19,wait,2020-10-19
GENERALSHOPP ON,GSHP3,1W,Low,Belt Hold Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
SAO CARLOS ON,SCAR3,1W,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
ITAUUNIBANCO ON,ITUB3,1W,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Netflix Inc DRC,NFLX34,1W,High,Abandoned Baby Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
CESP ON,CESP3,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Pfizer Inc BDR,PFIZ34,1W,High,Dark Cloud Cover,Current,Bearish reversal,2020-10-19,wait,2020-10-19
Halliburton Co BD.,HALI34,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Halliburton Co BD.,HALI34,1W,Low,Inverted Hammer,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Schlumberger AG,SLBG34,1W,High,Kicking Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
CCX CARVAO ON,CCXC3,1W,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Walt Disney Co BD.,DISB34,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
PETROBRAS ON,PETR3,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Braskem Pref B,BRKM6,1W,Low,Belt Hold Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Enauta ON,ENAT3,1W,High,Evening Doji Star,Current,Bearish reversal,2020-10-19,wait,2020-10-19
Biomm On,BIOM3,1W,High,Three Outside Up,Current,Bullish reversal,2020-10-19,wait,2020-10-19
GERDAU MET ON,GOAU3,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
GERDAU MET ON,GOAU3,1W,High,Evening Doji Star,Current,Bearish reversal,2020-10-19,wait,2020-10-19
GERDAU MET ON,GOAU3,1W,High,Evening Star,Current,Bearish reversal,2020-10-19,wait,2020-10-19
MMX MINER ON,MMXM3,1W,High,Evening Doji Star,Current,Bearish reversal,2020-10-19,wait,2020-10-19
KLABIN S/A ON N2,KLBN3,1W,High,Falling Three Methods,Current,Bearish continuation,2020-10-19,wait,2020-10-19
BRADESCO PN EJ N1.,BBDC4,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Suzano Papel Celu.,SUZB3,1W,High,Dark Cloud Cover,Current,Bearish reversal,2020-10-19,wait,2020-10-19
Eucatex,EUCA3,1W,Low,Belt Hold Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
Centro de Imagem.,AALR3,1W,Low,Harami Cross,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Centro de Imagem.,AALR3,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
Ferbasa,FESA3,1W,High,Three Black Crows,Current,Bearish reversal,2020-10-19,wait,2020-10-19
CESP PNA,CESP5,1W,Low,Belt Hold Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
CESP PNA,CESP5,1W,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-19,wait,2020-10-19
RAIADROGASIL ON,RADL3,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
FERBASA PN,FESA4,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-19,wait,2020-10-19
BRASIL ON,BBAS3,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-19,wait,2020-10-19
BANCO PAN SA PN,BPAN4,1W,High,Three Outside Down,Current,Bearish reversal,2020-10-19,wait,2020-10-19
CESP PNA,CESP5,1W,High,Three Inside Up,Current,Bullish reversal,2020-10-19,wait,2020-10-19
